colour	x	y	showSelectedlegendcolour	PANEL	fill
#00BFC4	1	0.892000000000052	e-4	12	#00BFC4
#00BFC4	2	0.606749999999692	e-4	12	#00BFC4
#C77CFF	1	0.30449999999837	e-4e5	12	#C77CFF
#C77CFF	2	0.30000000000291	e-4e5	12	#C77CFF
#F8766D	1	1.92250000000001	e-2	13	#F8766D
#F8766D	2	1.87275	e-2	13	#F8766D
#7CAE00	1	2.11850000000027	e-3	13	#7CAE00
#7CAE00	2	2.06674999999996	e-3	13	#7CAE00
#00BFC4	1	3.81299999999987	e-4	13	#00BFC4
#00BFC4	2	3.54475000000025	e-4	13	#00BFC4
#C77CFF	1	1.9427499999947	e-4e5	13	#C77CFF
#C77CFF	2	1.92099999998754	e-4e5	13	#C77CFF
#F8766D	1	1.37600000000001	e-2	14	#F8766D
#F8766D	2	1.32949999999997	e-2	14	#F8766D
#7CAE00	1	1.49574999999982	e-3	14	#7CAE00
#7CAE00	2	1.4994999999999	e-3	14	#7CAE00
#00BFC4	1	1.9652500000002	e-4	14	#00BFC4
#00BFC4	2	1.8427499999998	e-4	14	#00BFC4
#C77CFF	1	1.33800000000338	e-4e5	14	#C77CFF
#C77CFF	2	1.27900000000227	e-4e5	14	#C77CFF
#F8766D	1	0.370749999999987	e-2	15	#F8766D
#F8766D	2	0.373249999999984	e-2	15	#F8766D
#7CAE00	1	0.618500000000153	e-3	15	#7CAE00
#7CAE00	2	0.668499999999881	e-3	15	#7CAE00
#00BFC4	1	0.749250000000075	e-4	15	#00BFC4
#00BFC4	2	0.661999999999807	e-4	15	#00BFC4
#C77CFF	1	0.355749999995169	e-4e5	15	#C77CFF
#C77CFF	2	0.373749999998836	e-4e5	15	#C77CFF
#F8766D	1	1.17300000000003	e-2	16	#F8766D
#F8766D	2	1.22374999999997	e-2	16	#F8766D
#7CAE00	1	1.24474999999984	e-3	16	#7CAE00
#7CAE00	2	1.22600000000011	e-3	16	#7CAE00
#00BFC4	1	2.65200000000004	e-4	16	#00BFC4
#00BFC4	2	2.3494999999998	e-4	16	#00BFC4
#C77CFF	1	1.3185000000085	e-4e5	16	#C77CFF
#C77CFF	2	1.1730000000025	e-4e5	16	#C77CFF
#F8766D	1	2.89600000000004	e-2	17	#F8766D
#F8766D	2	2.59124999999997	e-2	17	#F8766D
#7CAE00	1	4.59449999999993	e-3	17	#7CAE00
#7CAE00	2	4.24525000000017	e-3	17	#7CAE00
#00BFC4	1	3.60050000000024	e-4	17	#00BFC4
#00BFC4	2	3.28550000000019	e-4	17	#00BFC4
#C77CFF	1	2.88150000000314	e-4e5	17	#C77CFF
#C77CFF	2	2.63374999999359	e-4e5	17	#C77CFF
#F8766D	1	2.42900000000003	e-2	18	#F8766D
#F8766D	2	2.21724999999998	e-2	18	#F8766D
#7CAE00	1	3.61749999999995	e-3	18	#7CAE00
#7CAE00	2	3.54924999999991	e-3	18	#7CAE00
#00BFC4	1	3.63549999999987	e-4	18	#00BFC4
#00BFC4	2	3.57175000000007	e-4	18	#00BFC4
#C77CFF	1	2.35649999999441	e-4e5	18	#C77CFF
#C77CFF	2	2.20050000000629	e-4e5	18	#C77CFF
